清理後評論內容,分詞結果
"台灣終於有巨蛋了
整體不會很悶非常的舒適
希望將來球團認購後裡面的商店街跟活動可以更舒適 2樓的景觀應該蠻舒適的
建議大家有空都可以來球場裡面看球
體驗不受風雨影響的觀球體驗

看完松煙的展覽後過來這邊走一走也蠻不錯的

希望以後除了球賽以外可以有付費參觀的行程可以走走草皮跟導覽球員休息室等等行程安排可以參考日本巨蛋的行程

期待之後越來越好

建議大家週末都可以去走一走逛一逛","台灣 終於 有 巨蛋 了 
 整體 不會 很 悶 非常 的 舒適 
 希望 將來 球團 認購 後 裡面 的 商店街 跟 活動 可以 更 舒適   2樓 的 景觀 應該 蠻 舒適 的 
 建議 大家 有空 都 可以 來 球場 裡面 看 球 
 體驗 不 受 風雨 影響 的 觀 球 體驗 
 
 看完 松煙 的 展覽 後 過來 這邊 走 一 走 也 蠻 不錯 的 
 
 希望 以後 除了 球賽 以外 可以 有 付費 參觀 的 行程 可以 走走 草皮 跟 導覽 球員 休息室 等等 行程 安排 可以 參考 日本 巨蛋 的 行程 
 
 期待 之後 越來越 好 
 
 建議 大家 週末 都 可以 去 走 一 走 逛 一 逛"
"83 富邦vs兄弟
05
兄弟獲勝
賽後表演好精彩
終於看到國防部長了
以上為個人看法
34506人
921周思齊引退週外野135區2樓
500人
還有五月天
跟以前的殺殺殺
兄弟4味全2
兄弟勝利
40000人","83  富邦 vs 兄弟 
05
 兄弟 獲勝 
 賽 後 表演 好 精彩 
 終於 看到 國防部長 了 
 以上 為 個人 看法 
34506 人 
921 周思齊 引退 週外野 135區 2樓 
500 人 
 還 有 五月 天
 跟 以前 的 殺 殺殺
 兄弟 4 味全 2
 兄弟 勝利 
40000 人"
等了好多年終於開放使用了裡面冷氣很強很棒的場地希望早點能舉辦演唱會停車場也很大但是有活動基本也是停滿車,等 了 好多 年 終於 開放 使用 了 裡面 冷氣 很 強 很 棒 的 場地 希望 早點 能 舉辦 演唱會 停車場 也 很 大 但是 有 活動 基本 也 是 停滿 車
113年7月來台北大巨蛋初體驗硬體和軟體中很有水準兄弟象9局逆轉統一獅32球賽很精彩球館內還可以買的到平價711熱狗堡還小朋友來消磨時間的好地方,113年 7月 來 台北 大 巨蛋 初 體驗 硬體 和 軟體 中 很 有 水準 兄弟象 9 局 逆轉 統一獅 32 球賽 很 精彩 球館 內 還可以 買 的 到 平價 711 熱狗堡 還 小朋友 來 消磨 時間 的 好 地方
"優連通捷運站室內球場不曬遮雨空調放送隨處設置垃圾桶提供飲水機裝水格子屋頂有特色灰白為主色簡約有質感

缺主螢幕不夠大走道區不夠寬闊進場人數較多時相當擁擠餐飲多為高碳水食物附近便利商店較遠一樓餐廳僅能從外圍進入","優連通 捷運站 室 內 球場 不 曬 遮雨 空調 放送 隨處 設置 垃圾桶 提供 飲水機 裝 水 格子 屋頂 有 特色 灰白 為 主色 簡約 有 質感 

 缺 主螢幕 不 夠 大 走道區 不 夠 寬闊 進場 人數 較多 時 相當 擁擠 餐飲 多 為 高碳水 食物 附近 便利商店 較 遠 一樓 餐廳 僅 能 從 外圍 進入"
"期待30年了終於能在下雨天安心看著球賽完整進行又有空調可舒適享受看球
可惜的是不盡理想整體尚未完全開放使用可能為顧及商業使用或空間的使用安全原設計理念應該是不用出捷運站就可從地下走道進入球場目前應該只有開車停球場的停車場才能不淋雨走","期待 30 年 了 終於 能 在 下雨天 安心 看 著 球賽 完整 進行 又 有 空調 可 舒適 享受 看 球 
 可惜 的 是 不盡 理想 整體 尚未 完全 開放 使用 可能 為 顧及 商業 使用 或 空間 的 使用 安全 原 設計 理念 應該 是 不用 出 捷運站 就 可 從 地 下 走道 進入 球場 目前 應該 只有 開車 停球場 的 停車場 才 能 不 淋雨 走"
"搭乘捷運到國父紀念館站下車四號出口是國父紀念館上去後往50公尺右邊有手扶電可下去走地下通道至售票口和巨蛋入口 
正常是走五號出口旁邊有一間全家可以先在此補給 停車場入口在忠孝東路和逸仙路口","搭乘 捷運 到 國父 紀念館站 下車 四號 出口 是 國父 紀念館 上去 後 往 50 公尺 右邊 有 手 扶 電 可 下去 走 地下 通道 至 售票口 和 巨蛋 入口   
 正常 是 走 五號 出口 旁邊 有 一 間 全家 可以 先 在 此 補給   停車場 入口 在 忠孝東路 和 逸仙路口"
來看了三場球賽室內吹冷氣吃吃喝喝看棒球就是爽餐廳有變多但是人數多時還是自備飲食比較方便,來 看 了 三 場 球賽 室 內 吹 冷氣 吃吃 喝喝 看 棒球 就是 爽 餐廳 有 變多 但是 人數 多 時 還是 自備 飲食 比較 方便
"大巨蛋我來了為了周思齊引退這樣棒的一個人認真努力自律當然要來看呀
好大的巨蛋冷氣超級強的外頭下雨而裡面卻是溫馨的感覺感謝五月天真的要好好的珍惜","大 巨蛋 我 來 了 為了 周思齊 引退 這樣 棒 的 一 個 人 認真 努力 自律 當然 要 來 看 呀 
 好 大 的 巨蛋 冷氣 超級 強 的 外頭 下雨 而 裡面 卻 是 溫馨 的 感覺 感謝 五月 天 真的 要 好好 的 珍惜"
"首次來大巨蛋看球炎炎夏日能在有冷氣的球場看球實在太幸福了
這次坐在四樓視野還是非常好可惜冷氣較一二樓弱了許多","首次 來 大 巨蛋 看 球 炎炎夏日 能 在 有 冷氣 的 球場 看 球 實在 太 幸福 了 
 這 次 坐 在 四樓 視野 還是 非常 好 可惜 冷氣 較 一二樓 弱 了 許多"
"捷運站出來直接是大巨蛋入口開車騎機車來大巨蛋也很方便一踏入球場有種在超大型百貨公司看棒球的fu真的超棒

對了停車空間很大可以停很多車
目前去看過幾場比賽都沒有停車位已滿的問題離場的動線也很順暢費用收取標準如下
機車20元次汽車60元小時

水啦","捷運站 出來 直接 是 大巨蛋 入口 開車 騎 機車 來 大巨蛋 也 很 方便 一 踏入 球場 有 種 在 超大型 百貨公司 看 棒球 的 fu 真的 超棒 
 
 對了 停車 空間 很 大 可以 停 很多 車 
 目前 去 看過 幾 場 比賽 都 沒有 停車位 已 滿 的 問題 離場 的 動線 也 很 順暢 費用 收取 標準 如下 
 機車 20 元 次 汽車 60 元 小時 
 
 水 啦"
"台灣第一座室內棒球場吹冷氣看棒球真的很幸福

很多廁所不怕找不到廁所場內系統很好都聽不到對面的加油聲","台灣 第一 座 室 內 棒球場 吹 冷氣 看 棒球 真的 很 幸福 
 
 很多 廁所 不 怕 找 不 到 廁所 場 內 系統 很 好 都 聽 不 到 對面 的 加油聲"
"捷運板南線藍線國父紀念館站5號出口
接駁車開賽前2小時跟結束信義線世貿站4號出口信義路上市政府市府路上都有接駁車到大巨蛋光復南路上
停車汽車平日50時假日60時消費500抵1小時最高可抵3小時機車平日20次消費300可抵一次
餐廳大巨蛋外圍餐廳總共有14家用餐環境都很不錯消費可抵停車費
大巨蛋至松菸園區已經連通可步行也可以去松菸園區餐廳用餐或逛逛
松菸園區內的誠品書店24小時聽完演唱會看完棒球好去處","捷運 板南線 藍線 國父 紀念館站 5號 出口 
 接駁車 開賽 前 2 小時 跟 結束 信義線 世貿站 4號 出口 信義路 上 市政府 市府 路 上 都 有 接駁車 到 大巨蛋 光復南路 上 
 停車 汽車 平日 50時 假日 60時 消費 500 抵 1 小時 最 高 可 抵 3 小時 機車 平日 20 次 消費 300 可 抵 一 次 
 餐廳 大巨蛋 外圍 餐廳 總共 有 14 家 用餐 環境 都 很 不錯 消費 可 抵 停車費 
 大巨蛋 至 松菸 園區 已經 連通 可 步行 也 可以 去 松菸 園區 餐廳 用餐 或 逛逛 
 松菸 園區 內 的 誠品 書店 24 小時 聽完 演唱會 看完 棒球 好 去處"
"可以在室內看棒球真的太棒了
從捷運站走到大巨蛋的一整條連接道都有便利商店速食餐廳可以買食物非常方便","可以 在 室 內 看 棒球 真的 太 棒 了 
 從 捷運站 走到 大 巨蛋 的 一 整 條 連接道 都 有 便利商店 速食 餐廳 可以 買 食物 非常 方便"
今年去了三場比賽 真的無可挑剔 廁所乾淨 而且新開的地下街走路也很舒服 讚啦,今年 去 了 三 場 比賽   真的 無可 挑剔   廁所 乾淨   而且 新 開 的 地下街 走路 也 很 舒服   讚 啦
看潘威倫引退賽才來的有冷氣吹的球賽就是舒服動線規劃路線很明確服務人員都很不錯重要的是化妝室超多而且很乾淨附近很熱鬧吃什麼都方便,看 潘威倫 引退 賽 才 來 的 有 冷氣 吹 的 球賽 就 是 舒服 動線 規劃 路線 很 明確 服務 人員 都 很 不錯 重要 的 是 化妝室 超 多 而且 很 乾淨 附近 很 熱鬧 吃 什麼 都 方便
台北有室內月棒球場真好設施相當棒人潮分流也做不錯大家都順利回家出口都安排接伯車棒,台北 有 室內月 棒球場 真 好 設施 相當 棒 人潮 分流 也 做 不錯 大家 都 順利 回家 出口 都 安排 接 伯車棒
"外野又漏水了
136區4排34號
只要下雨一定漏 每次漏水位置還都不一樣
還有破爛的音響請汰換
開球來賓講話的聲音都聽不清楚了 更別說之前賽後開的演唱會 簡直慘不忍睹
比賽很精彩 硬體也請跟上
別只是賺一場又一場大筆的門票 對顯而易見的缺失視而不見","外野 又 漏水 了 
136 區 4 排 34 號 
 只要 下雨 一定 漏  每 次 漏水 位置 還 都 不 一樣 
 還 有 破爛 的 音響 請 汰換 
 開球 來賓 講話 的 聲音 都 聽 不 清楚 了   更 別 說 之前 賽 後 開 的 演唱會   簡直 慘不忍睹 
 比賽 很 精彩   硬體 也 請 跟上 
 別 只是 賺 一 場 又 一 場 大 筆 的 門票   對 顯而易見 的 缺失 視而不見"
從國小時候的職棒元年的龍象大站終於現在到了大巨蛋有冷氣空調的環境就真的舒服很多又在捷運藍線現在台北市新北市的居民就非常方便其實散場的時候疏散的速度也算蠻快的以後球賽機會會更提升了,從 國小 時候 的 職棒 元年 的 龍象 大 站 終於 現在 到 了 大 巨蛋 有 冷氣 空調 的 環境 就 真的 舒服 很多 又 在 捷運 藍線 現在 台北市 新北市 的 居民 就 非常 方便 其實 散場 的 時候 疏散 的 速度 也 算 蠻 快 的 以後 球賽 機會 會 更 提升 了
"2024614第一次來到大巨蛋觀賞職棒比賽一踏入手扶梯就感受無敵熱情粉絲們搖旗吶喊加油聲那氛圍真的很讓人著迷室內空間高挑空調設備良好唯一周圍的販賣美食選擇性不多價格偏高
還有如果現場購票只能中國信託御璽卡以上等級","2024614 第一 次 來到 大巨蛋 觀賞 職棒 比賽 一 踏入 手扶梯 就 感受 無敵 熱情 粉絲 們 搖旗吶喊 加油聲 那 氛圍 真的 很 讓 人 著迷 室 內 空間 高挑 空調 設備 良好 唯一 周圍 的 販賣 美食 選擇性 不 多 價格 偏 高 
 還 有 如果 現場 購 票 只 能 中國信託 御璽卡 以上 等級"
"5點開打的球賽汽車車位不到3點就沒了不確定是開放的車位太少還是開車的人太多

進場動線相當順暢能在室內看球真的相當幸福

進場後走廊擠滿滿買紀念品買食物上廁所找位子的人潮擠在一起小不舒服但很熱鬧","5點 開打 的 球賽 汽車 車位 不 到 3點 就 沒 了 不 確定 是 開放 的 車位 太少 還是 開車 的 人 太多 
 
 進場 動線 相當 順暢 能 在 室 內 看 球 真的 相當 幸福 
 
 進場 後 走廊 擠滿滿 買 紀念品 買 食物 上廁所 找 位子 的 人潮 擠 在一起 小 不 舒服 但 很 熱鬧"
"台灣第一座室內棒球場不怕風吹日曬雨淋還有冷氣真是舒服

大巨蛋第一場球賽獻給兄弟和統一10幾年沒看台灣職棒看到王建民上來還是難掩心中的興奮希望台灣職棒越來越好

今天日最幸運撿到界外球 感謝前面的小哥沒接到讓球彈到後面","台灣 第一 座 室 內 棒球場 不 怕 風 吹 日曬 雨 淋 還 有 冷氣 真是 舒服 
 
 大 巨蛋 第一 場 球賽 獻給 兄弟 和 統一 10 幾 年 沒 看 台灣 職棒 看到 王建民 上來 還是 難掩 心 中 的 興奮 希望 台灣 職棒 越來越 好 
 
 今天 日 最 幸運 撿到 界外球   感謝 前面 的 小哥 沒 接到 讓 球 彈到 後面"
"20240622
終於來開箱臺灣第一顆巨蛋的
第一次在室內球場看棒球
觀賽體驗只能說 其他球場根本沒辦法比啊
有冷氣是室內場館看起來就是舒服

我覺得看球的視角來說 如果看球賽大概選20排左右比較剛好 選太前面應該會被舞台擋到會看不太到球的感覺 啊如果是要看啦啦隊認真加油應援的話那是可以買前排的位子坐

大巨蛋除了有冷氣外 跟其他球場比較不一樣的是內野票可以走去外野晃晃 外野看進內野的視角其實也蠻不錯的 攤位跟其他球場比可能是分的比較散 內外野都有 所以覺得攤位沒有很多的感覺

然後雖然那個螢幕已經是臺灣球場裡最大的螢幕了 但還是希望在改大一點 這裡球迷的看球體驗會更好

交通部分 機車蠻好停車的 汽車感覺位置也蠻多的 只是開來這附近很容易塞車 捷運不用說 出來就可以直接進場了也很方便 附近應該也蠻多公車能到

結論 看完大巨蛋後感覺之後去其他球場都會覺得說好熱喔不習慣的感覺 巨蛋的看球體驗真的太舒服啦 蠻期待以後國際賽來這裡看球的","20240622 
 終於 來 開箱 臺灣 第一 顆 巨蛋 的 
 第一 次 在 室 內 球場 看 棒球 
 觀賽 體驗 只 能 說   其他 球場 根本 沒辦法 比 啊 
 有 冷氣 是 室 內 場館 看起來 就 是 舒服 
 
 我 覺得 看 球 的 視角 來 說   如果 看 球賽 大概 選 20 排 左右 比較 剛好   選 太 前面 應該 會 被 舞台 擋到 會 看 不 太到 球 的 感覺   啊 如果 是 要 看 啦啦隊 認真 加油 應援 的話 那 是 可以 買 前 排 的 位子 坐 

 大 巨蛋 除了 有 冷氣 外   跟 其他 球場 比較 不 一樣 的 是 內野票 可以 走去 外野 晃晃   外野 看進 內野 的 視角 其實 也 蠻 不錯 的   攤位 跟 其他 球場 比 可能 是 分 的 比較 散   內外野 都 有   所以 覺得 攤位 沒有 很多 的 感覺 
 
 然後 雖然 那 個 螢幕 已經 是 臺灣 球場 裡 最 大 的 螢幕 了   但 還是 希望 在 改大 一點   這裡 球迷 的 看 球 體驗 會 更 好 
 
 交通 部分   機車 蠻 好 停車 的   汽車 感覺 位置 也 蠻 多 的   只是 開來 這 附近 很 容易 塞車   捷運 不用說   出來 就 可以 直接 進場 了 也 很 方便   附近 應該 也 蠻 多 公車 能 到 

 結論   看完 大 巨蛋 後 感覺 之後 去 其他 球場 都 會 覺得 說 好 熱 喔 不 習慣 的 感覺   巨蛋 的 看 球 體驗 真的 太 舒服 啦   蠻 期待 以後 國際賽 來 這裡 看 球 的"
"20240720中職明星賽來體驗大巨蛋
我們坐L5最上層視線有點遠高所以只能看前方的大螢幕座位擁擠還是台中洲際比較好所以有來體驗過就好

優點是裡面有空調不悶熱不過因為還沒有開放固定球隊認養巨蛋因此只有幾攤臨時的攤販所以我們先去外面附近的麥當勞買進來吃","20240720 中職 明星賽 來 體驗 大 巨蛋 
 我們 坐 L5 最 上 層 視線 有點 遠 高 所以 只 能 看 前方 的 大 螢幕 座位 擁擠 還是 台中 洲際 比較 好 所以 有 來 體驗 過 就 好 
 
 優點 是 裡面 有 空調 不 悶熱 不過 因為 還 沒有 開放 固定 球隊 認養 巨蛋 因此 只有 幾 攤 臨時 的 攤販 所以 我們 先 去 外面 附近 的 麥當勞 買進來 吃"
遇到大雨確實有漏水情形希望能夠加以改善不然就浪費了那麼好的球場,遇到 大雨 確實 有 漏水 情形 希望 能夠 加以 改善 不然 就 浪費 了 那麼 好 的 球場
台灣可以有一個不用怕風吹日曬雨淋的棒球場真的太讚了看棒球吹冷氣就是爽而且4萬人冷氣還是吹到會冷,台灣 可以 有 一 個 不用 怕 風 吹 日曬 雨 淋 的 棒球場 真的 太 讚 了 看 棒球 吹 冷氣 就是 爽 而且 4萬 人 冷氣 還是 吹到 會 冷
第一次來大巨蛋看球覺得還可以但是缺點是動線設計的不好人多會很亂地下樓層有賣吃的跟飲料越往上走空調越不冷還有就是有些座位空調會滴水有點擾人廁所還算蠻乾淨的廁所附近有飲水機可以帶杯子進來裝水因為地下樓層基本都是賣的很甜的飲料賣瓶裝水的比較少要花時間找賣水的地方,第一 次 來 大 巨蛋 看 球 覺得 還可以 但是 缺點 是 動線 設計 的 不 好 人 多 會 很 亂 地下 樓層 有 賣 吃 的 跟 飲料 越 往 上 走 空調 越 不 冷 還 有 就是 有 些 座位 空調 會 滴水 有點 擾 人 廁所 還 算 蠻 乾淨 的 廁所 附近 有 飲水機 可以 帶 杯子 進來 裝 水 因為 地下 樓層 基本 都 是 賣 的 很 甜 的 飲料 賣 瓶 裝 水 的 比較 少 要 花 時間 找 賣 水 的 地方
占地廣闊B1 B2 尚未整理好感覺還沒到位繼續加油,占地 廣闊 B1 B2  尚未 整理好 感覺 還 沒 到位 繼續 加油
舉辦了若干場球賽規劃逐漸完善許多球賽後還安排了演唱會吸引更多球迷進場支持期待演唱會舉辦的那天,舉辦 了 若干 場 球賽 規劃 逐漸 完善 許多 球賽 後 還 安排 了 演唱會 吸引 更多 球迷 進場 支持 期待 演唱會 舉辦 的 那 天
"去過國外巨蛋球場觀禮後

希望台灣 能有一顆巨蛋
終於落成了

首次光臨特別興奮
因為在自己家鄉 有巨蛋特別感到開心

選了一場中職老字號球隊的比賽
特別有意義

人潮不用多說有照片有真相
買個美食感覺空氣都被人群給搶走了

期待接下來的世界12強以及國際賽事
來幫助中華隊加油

感謝協助孵出這顆蛋
的政府機關以及廠商機關
期待經營越來越好

台灣加油

20240615","去 過 國外 巨蛋 球場 觀禮 後 
 
 希望 台灣   能 有 一 顆 巨蛋 
 終於 落成 了 
 
 首次 光臨 特別 興奮 
 因為 在 自己 家鄉   有 巨蛋 特別 感到 開心 
 
 選 了 一 場 中職 老字號 球隊 的 比賽 
 特別 有 意義 
 
 人潮 不用 多 說 有 照片 有 真相 
 買 個 美食 感覺 空氣 都 被 人群 給 搶走 了 
 
 期待 接下來 的 世界 12 強 以及 國際 賽事 
 來 幫助 中華隊 加油 
 
 感謝 協助 孵出 這 顆 蛋
 的 政府 機關 以及 廠商 機關 
 期待 經營 越來越 好 
 
 台灣 加油 

 20240615"
我覺得環境不錯可能等商店都開之後會更好場內的冷氣很涼以後再也不會怕下雨停賽希望北市府或是以後認養的球隊或公司能好好維護這顆得來不易的蛋,我 覺得 環境 不錯 可能 等 商店 都 開 之後 會 更 好 場 內 的 冷氣 很 涼 以後 再 也 不會 怕 下雨 停賽 希望 北市府 或是 以後 認養 的 球隊 或 公司 能 好好 維護 這 顆 得來 不易 的 蛋
"很高興能親臨職棒35週年全民星賽
看到最頂的球員最香的啦啦隊最頂OB對決這是很難忘的回憶感謝大巨蛋有你真好","很 高興 能 親臨 職棒 35 週年 全民 星賽 
 看到 最 頂 的 球員 最 香 的 啦啦隊 最 頂 O B 對決 這 是 很 難忘 的 回憶 感謝 大巨蛋 有 你 真 好"
台北大巨蛋終於正式啟用一樓是遠東Garden City商場有許多新型態的餐廳假日往來民眾眾多附近景點還有國父紀念館松山文創園區國家鐵道博物館等,台北 大 巨蛋 終於 正式 啟用 一樓 是 遠東 Garden  City 商場 有 許多 新 型態 的 餐廳 假日 往來 民眾 眾多 附近 景點 還 有 國父 紀念館 松山 文創 園區 國家 鐵道 博物館 等
"停車場離 大巨蛋門口很遠
無法直達
要先徒步幾分鐘
還要聞一大堆二手菸
動線很怪
兄弟公關票居然跟對號座搶位置 有夠爛
建議不要買二樓 會被拿免費票的搶位置然後又不讓位

新增1020 總冠軍賽 內野105視野
還是有些遮蔽 下次應該會買本後","停車場 離   大 巨蛋 門口 很 遠 
 無法 直達 
 要 先 徒步 幾 分鐘 
 還 要 聞 一 大 堆 二手菸 
 動線 很 怪 
 兄弟 公關票 居然 跟 對號座 搶 位置   有 夠 爛 
 建議 不要 買 二樓   會 被 拿 免費 票 的 搶 位置 然後 又 不 讓位 

 新增 1020   總冠軍賽   內野 105 視野 
 還是 有 些 遮蔽   下 次 應該 會 買 本 後"
20240707 大巨蛋首度造訪先不論從南部上去的交通成本原來看棒球也能這麼舒適愜意冷氣好強也難怪大巨蛋的球賽是那麼的受歡迎球賽票價反倒是其次光是大巨蛋看球體驗就超過100分了,20240707   大 巨蛋 首度 造訪 先 不論 從 南部 上去 的 交通 成本 原來 看 棒球 也 能 這麼 舒適 愜意 冷氣 好強 也 難怪 大 巨蛋 的 球賽 是 那麼 的 受 歡迎 球賽 票價 反倒 是 其次 光 是 大 巨蛋 看 球 體驗 就 超過 100 分 了
B1三壘後排 會看不到大螢幕 坐下直接被遮23然后對面螢幕又小不拉機爛死都要用了螢幕大一點會怎樣嗎,B1 三壘 後 排   會 看 不 到 大 螢幕   坐下 直接 被 遮 23 然后 對面 螢幕 又 小不拉機 爛死 都 要 用 了 螢幕 大 一點 會 怎樣 嗎
"昨天大巨蛋初體驗 友人送了2張兄弟象及味全龍職棒 在內野區的貴賓票 好嗨喔
一開始請了Gail來台開球 唱歌 還看到李多慧及林襄出場味全龍的啦啦隊粉絲們一致的動作及口號真是認真又忠誠 令人感到震撼","昨天 大巨蛋 初 體驗   友人 送 了 2 張 兄弟象 及 味全龍 職棒   在 內野區 的 貴賓票   好 嗨 喔 
 一 開始 請 了 Gail 來 台 開球   唱歌   還 看到 李多慧 及 林襄 出場 味全龍 的 啦啦隊 粉絲 們 一致 的 動作 及 口號 真是 認真 又 忠誠   令 人 感到 震撼"
"20240616紀錄
台北大巨蛋
場地真的很棒出乎我預料啊
但很棒的看棒賽場地值得來看
看球賽吹冷氣真的好爽啊
下次賽要如何去台中洲際看沒冷氣的啊 開箱大巨蛋大巨蛋看球的環境真的不錯本賽看過美國洋基跟東京巨蛋後評比結果台灣藍波one","20240616 紀錄 
 台北 大 巨蛋 
 場地 真的 很 棒 出乎 我 預料 啊 
 但 很 棒 的 看 棒賽 場地 值得 來 看 
 看 球賽 吹 冷氣 真的 好 爽 啊 
 下 次 賽 要 如何 去 台中 洲際 看 沒 冷氣 的 啊   開箱 大 巨蛋 大 巨蛋 看 球 的 環境 真的 不錯 本 賽 看過 美國 洋基 跟 東京 巨蛋 後 評比 結果 台灣 藍波 one"
可以去看看台灣最大的棒球場F1 外圍B 2有很多美食都不錯可以嘗試,可以 去 看看 台灣 最 大 的 棒球場 F1  外圍 B 2 有 很多 美食 都 不錯 可以 嘗試
整體來說都是好事發生降低因雨而停賽或活動停辦的問題公共運輸將扮演很大的角色停車場的使用也早已經可想而知的挑戰建議彈性時間的提早開放入場與多項的預先規定例如停車場避免車子排隊情況頻繁出現希望持續優化與美化讓台灣也有驕傲的棒球場所場內音響音效品質仍然值得大大的改善,整體 來 說 都 是 好事 發生 降低 因 雨 而 停賽 或 活動 停辦 的 問題 公共 運輸 將 扮演 很 大 的 角色 停車場 的 使用 也 早已 經 可想而知 的 挑戰 建議 彈性 時間 的 提早 開放 入場 與 多 項 的 預先 規定 例如 停車場 避免 車子 排隊 情況 頻繁 出現 希望 持續 優化 與 美化 讓 台灣 也 有 驕傲 的 棒球場 所 場 內 音響 音效 品質 仍然 值得 大大 的 改善
"棒球賽初體驗
第一次看棒球 第一次進大巨蛋
室內有冷氣吹真不錯
期待之後開放辦演唱會

中信富邦金控球隊大戰
位置坐在一壘二樓
在站立應援區附近
離啦啦隊女孩蠻近的

這場是平日最多人的一場 將近2萬人入場
趁著休息有在二樓走一圈
聽說三樓有人被界外球打到臉
眼睛直接腫一圈送醫
下次看比賽要帶手套","棒球賽 初 體驗 
 第一 次 看 棒球   第一 次 進 大 巨蛋 
 室 內 有 冷氣 吹 真 不錯 
 期待 之後 開放 辦 演唱會 
 
 中信 富邦金 控球隊 大戰 
 位置 坐 在 一壘 二樓 
 在 站立 應援區 附近 
 離 啦啦隊 女孩 蠻 近 的 
 
 這 場 是 平日 最多 人 的 一 場   將近 2萬 人 入場 
 趁著 休息 有 在 二樓 走 一 圈 
 聽說 三樓 有 人 被 界外球 打到 臉 
 眼睛 直接 腫 一 圈 送醫 
 下 次 看 比賽 要 帶 手套"
室內球館很大很壯觀可容納數萬人外表流線型很有設計感為整體看棒球的體驗增添了許多視覺上的享受,室 內 球館 很 大 很 壯觀 可 容納 數萬 人 外表 流線型 很 有 設計感 為 整體 看 棒球 的 體驗 增添 了 許多 視覺 上 的 享受
"國父紀念館站出口即到1F環一圈都是高級餐廳和賣賣店大巨蛋旁有二層樓的古意松菸文創園區松菸文創後面是誠品生活館B1有美食街3F 誠品書店是24小時開放的書店另外旁邊還有Garden City大遠百
來看球賽可以順便來此閒逛","國父 紀念館 站 出口 即 到 1F環 一 圈 都 是 高級 餐廳 和 賣賣店 大巨蛋 旁 有 二 層 樓 的 古意 松菸 文創 園區 松菸 文創 後面 是 誠品 生活館 B1 有 美食街 3F  誠品 書店 是 24 小時 開放 的 書店 另外 旁邊 還 有 Garden  City 大遠 百
 來 看 球賽 可以 順便 來 此 閒逛"
還沒進去看球過但這是台灣棒球迷其待已久的場地也是當年牲台北市立棒球場才換來的球場必需讚,還 沒 進去 看 球 過 但 這 是 台灣 棒球迷 其 待 已 久 的 場地 也 是 當年 牲 台北 市立 棒球場 才 換來 的 球場 必需 讚
"空間非常寬敞舒適化妝室間數也很足夠不用擔心人潮眾多時排隊問題
唯獨餐飲部的規劃可以再精緻些","空間 非常 寬敞 舒適 化妝室 間數 也 很 足夠 不用 擔心 人潮 眾多 時 排隊 問題 
 唯獨 餐飲部 的 規劃 可以 再 精緻 些"
"第一次來大巨蛋看引退
眼睛哭的好腫
太感動
這是5樓的視野
可以在大巨蛋看棒球真的很幸福","第一 次 來 大 巨蛋 看 引退 
 眼睛 哭 的 好 腫 
 太 感動 
 這 是 5樓 的 視野 
 可以 在 大 巨蛋 看 棒球 真的 很 幸福"
"冷氣蠻涼爽的
體驗還不錯
但棒球動線很爛","冷氣 蠻 涼爽 的 
 體驗 還 不錯 
 但 棒球 動線 很 爛"
第一次來朝聖聽到職棒元年的戰歌頓時覺得這一路走來真的是太久了台灣終於有巨蛋球場了吹著冷氣看球不必再因為下雨或場地而暫停比賽了這樣才是看棒球要有的感覺太棒了雖然硬體設施不足還要再加強不過已經很棒了,第一 次 來 朝聖 聽到 職棒 元年 的 戰歌 頓時 覺得 這 一路 走來 真的 是 太 久 了 台灣 終於 有 巨蛋 球場 了 吹 著 冷氣 看 球 不必 再 因為 下雨 或 場地 而 暫停 比賽 了 這樣 才 是 看 棒球 要 有 的 感覺 太 棒 了 雖然 硬體 設施 不足 還要 再 加強 不過 已經 很 棒 了
"空調不錯
位子算好坐
裡面可以提供的餐飲還不夠多
廁所蠻多的人群散場很快
散場有接駁車到火車站或忠孝復興捷運站超級方便","空調 不錯 
 位子 算 好 坐 
 裡面 可以 提供 的 餐飲 還 不 夠多 
 廁所 蠻 多 的 人群 散場 很 快 
 散場 有 接駁車 到 火車站 或 忠孝 復興 捷運站 超級 方便"
原本以為會很難停車沒有想到停車動線意外的順暢週邊也有很多美食可以供看球賽的球迷享用這次去很幸運的遇到Lala徐佳瑩於球賽後上場表演,原本 以為 會 很 難 停車 沒有 想到 停車 動線 意外 的 順暢 週邊 也 有 很多 美食 可以 供 看 球賽 的 球迷 享用 這 次 去 很 幸運 的 遇到 Lala 徐佳瑩 於 球賽 後 上場 表演
臺北大巨蛋位於光復南路忠孝東路與市民大道之間捷運國父紀念館站步行約3分鐘大巨蛋附收費停車場交通非常方便體育館為可容納4萬座席之室內多功能體育館提供舉辦大型球賽集會表演及展覽等活動商業設施有百貨商場商店街辦公大樓等,臺北 大 巨蛋 位於 光復南路 忠孝東路 與 市民大道 之間 捷運 國父 紀念館站 步行 約 3 分鐘 大 巨蛋 附 收費 停車場 交通 非常 方便 體育館 為 可 容納 4萬 座席 之 室 內 多功能 體育館 提供 舉辦 大型 球賽 集會 表演 及 展覽 等 活動 商業 設施 有 百貨商場 商店街 辦公 大樓 等
